Name,SubCategoryName,Value
Количество комнат,Все квартиры,1
Общая площадь,Все квартиры,33.3 м²
Площадь кухни,Все квартиры,7 м²
Жилая площадь,Все квартиры,18 м²
Этаж,Все квартиры,5 из 9
Балкон или лоджия,Все квартиры,балкон
Высота потолков,Все квартиры,2.6 м
Техника,Все квартиры,холодильник
Год постройки,Все квартиры,1979
Общая площадь,Все квартиры,45 м²
Площадь кухни,Все квартиры,5 м²
Жилая площадь,Все квартиры,30 м²
Этаж,Все квартиры,1 из 5
Высота потолков,Все квартиры,2.5 м
Окна,Все квартиры,на улицу
Год постройки,Все квартиры,1969
Этажей в доме,Все квартиры,5
Общая площадь,Все квартиры,32.1 м²
Площадь кухни,Все квартиры,9 м²
Жилая площадь,Все квартиры,15.2 м²
Этаж,Все квартиры,9 из 10
Высота потолков,Все квартиры,2.8 м
Год постройки,Все квартиры,2005
Двор,Все квартиры,закрытая территория
Двор,Все квартиры," детская площадка"
Общая площадь,Все квартиры,50 м²
Жилая площадь,Все квартиры,19 м²
Этаж,Все квартиры,5 из 10
Балкон или лоджия,Все квартиры," лоджия"
Дополнительно,Все квартиры,гардеробная
Год постройки,Все квартиры,2014
Общая площадь,Все квартиры,42 м²
Площадь кухни,Все квартиры,13.7 м²
Жилая площадь,Все квартиры,14.1 м²
Отделка,Все квартиры,без отделки
Название новостройки,Все квартиры,ЖК «Танкисты»
Тип участия,Все квартиры,другое
Срок сдачи,Все квартиры,Сдан 4 кв. 2020
Грузовой лифт,Все квартиры,1
Парковка,Все квартиры,подземная
Парковка,Все квартиры," за шлагбаумом во дворе"
Общая площадь,Все квартиры,93 м²
Площадь кухни,Все квартиры,16 м²
Жилая площадь,Все квартиры,48 м²
Этаж,Все квартиры,2 из 22
Отделка,Все квартиры,предчистовая
Способ продажи,Все квартиры,договор долевого участия
Название новостройки,Все квартиры,ЖК «Лето»
"Корпус, строение",Все квартиры,Дом 10
"Корпус, строение",Все квартиры," 1 группа"
Тип участия,Все квартиры,ДДУ по ФЗ 214
Срок сдачи,Все квартиры,Сдача в 4 кв. 2025
Тип дома,Все квартиры,монолитно-кирпичный
Этажей в доме,Все квартиры,22
Общая площадь,Все квартиры,39 м²
Площадь кухни,Все квартиры,10 м²
Жилая площадь,Все квартиры,21 м²
Этаж,Все квартиры,1 из 10
Отделка,Все квартиры,чистовая
Способ продажи,Все квартиры,переуступка
Название новостройки,Все квартиры,ЖК «Апельсин»
"Корпус, строение",Все квартиры,Дом 2
Срок сдачи,Все квартиры,Сдан 3 кв. 2023
Общая площадь,Все квартиры,43 м²
Этаж,Все квартиры,3 из 10
Окна,Все квартиры,на солнечную сторону
Общая площадь,Все квартиры,42.2 м²
Площадь кухни,Все квартиры,12 м²
Ремонт,Все квартиры,требует ремонта
Год постройки,Все квартиры,2015
Общая площадь,Все квартиры,87 м²
Площадь кухни,Все квартиры,15 м²
Этаж,Все квартиры,12 из 23
Тип комнат,Все квартиры," смежные"
Тип дома,Все квартиры,монолитный
Год постройки,Все квартиры,2020
Этажей в доме,Все квартиры,23
Пассажирский лифт,Все квартиры,2
Общая площадь,Все квартиры,65 м²
Жилая площадь,Все квартиры,35 м²
Этаж,Все квартиры,5 из 5
Способ продажи,Все квартиры,альтернативная
Год постройки,Все квартиры,2011
Общая площадь,Все квартиры,51.1 м²
Жилая площадь,Все квартиры,33 м²
Год постройки,Все квартиры,1962
Общая площадь,Все квартиры,58 м²
Жилая площадь,Все квартиры,37 м²
Этаж,Все квартиры,2 из 10
Год постройки,Все квартиры,2022
Общая площадь,Все квартиры,31.6 м²
Площадь кухни,Все квартиры,6 м²
Жилая площадь,Все квартиры,18.5 м²
Ремонт,Все квартиры,дизайнерский
Год постройки,Все квартиры,1970
Общая площадь,Все квартиры,83.4 м²
Площадь кухни,Все квартиры,13 м²
Жилая площадь,Все квартиры,60 м²
Этаж,Все квартиры,4 из 4
Этажей в доме,Все квартиры,4
Площадь кухни,Все квартиры,8.6 м²
Жилая площадь,Все квартиры,35.6 м²
Этаж,Все квартиры,7 из 9
Год постройки,Все квартиры,1983
Общая площадь,Все квартиры,48 м²
Жилая площадь,Все квартиры,20 м²
Год постройки,Все квартиры,2013
Общая площадь,Все квартиры,41 м²
Площадь кухни,Все квартиры,7.6 м²
Жилая площадь,Все квартиры,17.7 м²
Год постройки,Все квартиры,1986
Общая площадь,Все квартиры,81 м²
Жилая площадь,Все квартиры,49 м²
Этаж,Все квартиры,19 из 23
Общая площадь,Все квартиры,66.4 м²
Жилая площадь,Все квартиры,40 м²
Этаж,Все квартиры,8 из 11
Год постройки,Все квартиры,2000
Этажей в доме,Все квартиры,11
Общая площадь,Все квартиры,71.6 м²
Жилая площадь,Все квартиры,45 м²
Техника,Все квартиры,водонагреватель
Год постройки,Все квартиры,2007
Жилая площадь,Все квартиры,28 м²
Этаж,Все квартиры,8 из 9
Год постройки,Все квартиры,1981
Общая площадь,Все квартиры,38.4 м²
Площадь кухни,Все квартиры,12.1 м²
Жилая площадь,Все квартиры,16.8 м²
Этаж,Все квартиры,4 из 10
Техника,Все квартиры," посудомоечная машина"
Общая площадь,Все квартиры,68 м²
Площадь кухни,Все квартиры,12.6 м²
Жилая площадь,Все квартиры,42.3 м²
Этаж,Все квартиры,8 из 14
Этажей в доме,Все квартиры,14
Общая площадь,Все квартиры,56 м²
Площадь кухни,Все квартиры,11.4 м²
Жилая площадь,Все квартиры,39 м²
Этаж,Все квартиры,10 из 10
Общая площадь,Все квартиры,40.2 м²
Площадь кухни,Все квартиры,9.7 м²
Год постройки,Все квартиры,2016
Общая площадь,Все квартиры,42.5 м²
Жилая площадь,Все квартиры,25.9 м²
Этаж,Все квартиры,4 из 5
Высота потолков,Все квартиры,2.2 м
Год постройки,Все квартиры,1967
Общая площадь,Все квартиры,80 м²
Площадь кухни,Все квартиры,15.4 м²
Этаж,Все квартиры,2 из 9
Общая площадь,Все квартиры,72.9 м²
Этаж,Все квартиры,10 из 14
Название новостройки,Все квартиры,ЖК в мкр. Новосоколовогорский
Срок сдачи,Все квартиры,Сдан 2 кв. 2024
Общая площадь,Все квартиры,60.9 м²
Высота потолков,Все квартиры,3 м
Год постройки,Все квартиры,1929
Общая площадь,Все квартиры,71.4 м²
Этаж,Все квартиры,14 из 14
Общая площадь,Все квартиры,86 м²
Площадь кухни,Все квартиры,10.2 м²
Этаж,Все квартиры,6 из 9
Год постройки,Все квартиры,1992
Площадь кухни,Все квартиры,19.3 м²
Жилая площадь,Все квартиры,10.8 м²
Название новостройки,Все квартиры,Мкр. «САЗ 3»
"Корпус, строение",Все квартиры,Дом 7
Общая площадь,Все квартиры,37 м²
Этаж,Все квартиры,8 из 19
Этажей в доме,Все квартиры,19
Количество комнат,Все квартиры,4
Общая площадь,Все квартиры,78.3 м²
Площадь кухни,Все квартиры,6.6 м²
Жилая площадь,Все квартиры,56 м²
Этаж,Все квартиры,15 из 22
Название новостройки,Все квартиры,ЖК «Мята»
"Корпус, строение",Все квартиры,Дом 8
Общая площадь,Все квартиры,31 м²
Жилая площадь,Все квартиры,16 м²
Год постройки,Все квартиры,1989
Общая площадь,Все квартиры,61.1 м²
Площадь кухни,Все квартиры,5.8 м²
Общая площадь,Все квартиры,30.7 м²
Общая площадь,Все квартиры,42.3 м²
Название новостройки,Все квартиры,Эко-квартал «Булгаковский парк»
Общая площадь,Все квартиры,62 м²
Жилая площадь,Все квартиры,36 м²
Тип дома,Все квартиры,блочный
Год постройки,Все квартиры,2021
Общая площадь,Все квартиры,21.1 м²
Жилая площадь,Все квартиры,11 м²
Год постройки,Все квартиры,1973
Общая площадь,Все квартиры,39.8 м²
Этаж,Все квартиры,6 из 24
Срок сдачи,Все квартиры,Сдача в 4 кв. 2026
Этажей в доме,Все квартиры,24
Общая площадь,Все квартиры,46.7 м²
Этаж,Все квартиры,3 из 5
Высота потолков,Все квартиры,260 м
Год постройки,Все квартиры,1975
Этаж,Все квартиры,3 из 24
Общая площадь,Все квартиры,39.1 м²
Год постройки,Все квартиры,2023
Общая площадь,Все квартиры,41.4 м²
Жилая площадь,Все квартиры,19.1 м²
Название новостройки,Все квартиры,Мкр. САЗ 4
"Корпус, строение",Все квартиры,Дом 12
Срок сдачи,Все квартиры,Сдан 3 кв. 2020
Общая площадь,Все квартиры,82 м²
Жилая площадь,Все квартиры,47.2 м²
Тёплый пол,Все квартиры,есть
Год постройки,Все квартиры,2009
Жилая площадь,Все квартиры,29 м²
Этаж,Все квартиры,3 из 9
Год постройки,Все квартиры,1980
Общая площадь,Все квартиры,64 м²
Этаж,Все квартиры,4 из 9
Общая площадь,Все квартиры,62.9 м²
Площадь кухни,Все квартиры,13.6 м²
Жилая площадь,Все квартиры,35.3 м²
Дополнительно,Все квартиры," панорамные окна"
Общая площадь,Все квартиры,64.3 м²
Жилая площадь,Все квартиры,30.8 м²
Название новостройки,Все квартиры,Мкр. «САЗ 2»
"Корпус, строение",Все квартиры,Дом 40
Срок сдачи,Все квартиры,Сдан 4 кв. 2019
Общая площадь,Все квартиры,52.9 м²
Жилая площадь,Все квартиры,34 м²
Год постройки,Все квартиры,1984
Количество комнат,Все квартиры,студия
Общая площадь,Все квартиры,25.2 м²
Этаж,Все квартиры,10 из 18
Название новостройки,Все квартиры,ЖК «Друзья»
"Корпус, строение",Все квартиры,Дом 1
Срок сдачи,Все квартиры,Сдан 4 кв. 2023
Этажей в доме,Все квартиры,18
Общая площадь,Все квартиры,60 м²
Год постройки,Все квартиры,2017
Общая площадь,Все квартиры,47.6 м²
"Корпус, строение",Все квартиры,Дом 41
Общая площадь,Все квартиры,44 м²
Этаж,Все квартиры,2 из 5
Год постройки,Все квартиры,1968
Этаж,Все квартиры,12 из 14
Общая площадь,Все квартиры,51.3 м²
Общая площадь,Все квартиры,36.3 м²
Общая площадь,Все квартиры,37.9 м²
Площадь кухни,Все квартиры,9.8 м²
Техника,Все квартиры,стиральная машина
Общая площадь,Все квартиры,91.4 м²
Площадь кухни,Все квартиры,15.2 м²
Техника,Все квартиры,посудомоечная машина
Год постройки,Все квартиры,2010
Общая площадь,Все квартиры,36 м²
Площадь кухни,Все квартиры,18 м²
Жилая площадь,Все квартиры,10 м²
Этаж,Все квартиры,8 из 10
Общая площадь,Все квартиры,38.7 м²
Общая площадь,Все квартиры,84.3 м²
Этаж,Все квартиры,4 из 24
Общая площадь,Все квартиры,37.3 м²
Год постройки,Все квартиры,1997
Общая площадь,Все квартиры,48.5 м²
Жилая площадь,Все квартиры,31 м²
В доме,Все квартиры,мусоропровод
В доме,Все квартиры," газ"
Жилая площадь,Все квартиры,25 м²
Этаж,Все квартиры,1 из 9
Высота потолков,Все квартиры,245 м
Этаж,Все квартиры,16 из 19
Год постройки,Все квартиры,1966
Общая площадь,Все квартиры,52 м²
Общая площадь,Все квартиры,32.6 м²
Площадь кухни,Все квартиры,6.3 м²
Жилая площадь,Все квартиры,19.3 м²
Этаж,Все квартиры,14 из 25
Этажей в доме,Все квартиры,25
Общая площадь,Все квартиры,45.8 м²
Этаж,Все квартиры,4 из 6
Год постройки,Все квартиры,1963
Этажей в доме,Все квартиры,6
Общая площадь,Все квартиры,55.4 м²
Год постройки,Все квартиры,1965
Площадь кухни,Все квартиры,9.2 м²
Общая площадь,Все квартиры,73.2 м²
Жилая площадь,Все квартиры,43.7 м²
Этаж,Все квартиры,3 из 6
Общая площадь,Все квартиры,43.1 м²
Общая площадь,Все квартиры,61.7 м²
Год постройки,Все квартиры,2024
Общая площадь,Все квартиры,38 м²
Жилая площадь,Все квартиры,17 м²
Дополнительно,Все квартиры,панорамные окна
Год постройки,Все квартиры,1982
Общая площадь,Все квартиры,40 м²
Площадь кухни,Все квартиры,5.5 м²
Жилая площадь,Все квартиры,26 м²
Общая площадь,Все квартиры,32 м²
Этаж,Все квартиры,3 из 14
Общая площадь,Все квартиры,63.9 м²
Жилая площадь,Все квартиры,35.9 м²
Общая площадь,Все квартиры,31.7 м²
Этаж,Все квартиры,2 из 6
Общая площадь,Все квартиры,37.4 м²
Площадь кухни,Все квартиры,9.1 м²
Жилая площадь,Все квартиры,18.6 м²
Этаж,Все квартиры,6 из 25
Площадь кухни,Все квартиры,10.4 м²
Общая площадь,Все квартиры,59.4 м²
Этаж,Все квартиры,8 из 24
Общая площадь,Все квартиры,29 м²
Год постройки,Все квартиры,1990
Общая площадь,Все квартиры,67 м²
Год постройки,Все квартиры,1974
Общая площадь,Все квартиры,43.2 м²
Этаж,Все квартиры,2 из 2
Год постройки,Все квартиры,1959
Этажей в доме,Все квартиры,2
Общая площадь,Все квартиры,33.5 м²
Жилая площадь,Все квартиры,21.5 м²
Общая площадь,Все квартиры,62.4 м²
Площадь кухни,Все квартиры,20 м²
Этаж,Все квартиры,13 из 24
Общая площадь,Все квартиры,34 м²
Этаж,Все квартиры,1 из 4
Высота потолков,Все квартиры,3.3 м
Год постройки,Все квартиры,1940
Общая площадь,Все квартиры,55.5 м²
Жилая площадь,Все квартиры,15 м²
Этаж,Все квартиры,2 из 19
В доме,Все квартиры,консьерж
Площадь кухни,Все квартиры,25 м²
Жилая площадь,Все квартиры,52 м²
Общая площадь,Все квартиры,63.5 м²
Площадь кухни,Все квартиры,10.6 м²
Общая площадь,Все квартиры,31.8 м²
Санузел,Все квартиры," раздельный"
Общая площадь,Все квартиры,33 м²
Год постройки,Все квартиры,2006
Этаж,Все квартиры,5 из 14
Общая площадь,Все квартиры,79 м²
Общая площадь,Все квартиры,67.5 м²
Площадь кухни,Все квартиры,11.7 м²
Название новостройки,Все квартиры,ЖК «Подворье»
Тип участия,Все квартиры,ЖСК
Срок сдачи,Все квартиры,Сдача в 3 кв. 2024
Общая площадь,Все квартиры,57.2 м²
Общая площадь,Все квартиры,33.4 м²
Высота потолков,Все квартиры,25 м
Год постройки,Все квартиры,1995
Общая площадь,Все квартиры,43.8 м²
Жилая площадь,Все квартиры,30.2 м²
Общая площадь,Все квартиры,35 м²
Общая площадь,Все квартиры,74.7 м²
Жилая площадь,Все квартиры,52.7 м²
Площадь кухни,Все квартиры,10.9 м²
Жилая площадь,Все квартиры,30.7 м²
Этаж,Все квартиры,6 из 12
Этажей в доме,Все квартиры,12
Общая площадь,Все квартиры,30.5 м²
Площадь кухни,Все квартиры,15.9 м²
Этаж,Все квартиры,6 из 6
Жилая площадь,Все квартиры,23 м²
Этаж,Все квартиры,1 из 1
Год постройки,Все квартиры,1917
Этажей в доме,Все квартиры,1
Общая площадь,Все квартиры,47 м²
Год постройки,Все квартиры,1978
Общая площадь,Все квартиры,51.6 м²
Площадь кухни,Все квартиры,17.4 м²
Общая площадь,Все квартиры,39.7 м²
Год постройки,Все квартиры,2019
Общая площадь,Все квартиры,53 м²
Жилая площадь,Все квартиры,27 м²
Общая площадь,Все квартиры,45.2 м²
Жилая площадь,Все квартиры,30.6 м²
Жилая площадь,Все квартиры,65 м²
Этаж,Все квартиры,5 из 18
Общая площадь,Все квартиры,34.2 м²
Общая площадь,Все квартиры,58.8 м²
Жилая площадь,Все квартиры,46 м²
Год постройки,Все квартиры,1971
Площадь кухни,Все квартиры,6.5 м²
Год постройки,Все квартиры,1964
Общая площадь,Все квартиры,31.1 м²
Площадь кухни,Все квартиры,7.2 м²
Жилая площадь,Все квартиры,29.6 м²
Этаж,Все квартиры,25 из 26
Этажей в доме,Все квартиры,26
Общая площадь,Все квартиры,51 м²
Площадь кухни,Все квартиры,22 м²
Этаж,Все квартиры,10 из 19
Площадь кухни,Все квартиры,4.4 м²
Общая площадь,Все квартиры,62.2 м²
Общая площадь,Все квартиры,43.3 м²
Площадь кухни,Все квартиры,5.9 м²
Жилая площадь,Все квартиры,26.2 м²
Общая площадь,Все квартиры,81.2 м²
Жилая площадь,Все квартиры,25.6 м²
Общая площадь,Все квартиры,77.2 м²
Жилая площадь,Все квартиры,50.2 м²
Общая площадь,Все квартиры,30 м²
Общая площадь,Все квартиры,59.2 м²
Общая площадь,Все квартиры,62.1 м²
Площадь кухни,Все квартиры,24.7 м²
Жилая площадь,Все квартиры,32.4 м²
Общая площадь,Все квартиры,42.8 м²
Год постройки,Все квартиры,1985
Общая площадь,Все квартиры,53.8 м²
Год постройки,Все квартиры,2018
Общая площадь,Все квартиры,65.3 м²
Площадь кухни,Все квартиры,8.3 м²
Год постройки,Все квартиры,1987
Общая площадь,Все квартиры,64.5 м²
Жилая площадь,Все квартиры,54 м²
Этаж,Все квартиры,17 из 22
Жилая площадь,Все квартиры,42 м²
Общая площадь,Все квартиры,22 м²
Количество комнат,Все квартиры,свободная планировка
Общая площадь,Все квартиры,66 м²
Этаж,Все квартиры,2 из 15
Этажей в доме,Все квартиры,15
Общая площадь,Все квартиры,50.3 м²
Этаж,Все квартиры,8 из 25
Год постройки,Все квартиры,1972
Общая площадь,Все квартиры,33.2 м²
Общая площадь,Все квартиры,57.9 м²
Название новостройки,Все квартиры,ЖК «Уютный квартал»
Площадь кухни,Все квартиры,11.5 м²
Общая площадь,Все квартиры,27 м²
Общая площадь,Все квартиры,49.4 м²
Общая площадь,Все квартиры,29.3 м²
Общая площадь,Все квартиры,32.2 м²
Год постройки,Все квартиры,1993
Общая площадь,Все квартиры,29.5 м²
Общая площадь,Все квартиры,30.2 м²
Площадь кухни,Все квартиры,8.5 м²
Общая площадь,Все квартиры,33.9 м²
Жилая площадь,Все квартиры,13 м²
Общая площадь,Все квартиры,37.7 м²
Общая площадь,Все квартиры,32.5 м²
Общая площадь,Все квартиры,23 м²
Общая площадь,Все квартиры,56.3 м²
Жилая площадь,Все квартиры,41 м²
Общая площадь,Все квартиры,38.3 м²
Этаж,Все квартиры,5 из 6
Год постройки,Все квартиры,1976
Площадь кухни,Все квартиры,21 м²
Общая площадь,Все квартиры,38.5 м²
Этаж,Все квартиры,3 из 4
Общая площадь,Все квартиры,30.3 м²
Общая площадь,Все квартиры,36.5 м²
Жилая площадь,Все квартиры,18.7 м²
Год постройки,Все квартиры,1994
Этаж,Все квартиры,6 из 15
Общая площадь,Все квартиры,25.5 м²
Этаж,Все квартиры,1 из 3
Высота потолков,Все квартиры,3.5 м
Площадь кухни,Все квартиры,6.7 м²
Общая площадь,Все квартиры,48.9 м²
Площадь кухни,Все квартиры,6.9 м²
Жилая площадь,Все квартиры,22 м²
Общая площадь,Все квартиры,30.1 м²
Общая площадь,Все квартиры,24 м²
Общая площадь,Все квартиры,33.7 м²
Площадь кухни,Все квартиры,7.5 м²
Общая площадь,Все квартиры,25 м²
Этаж,Все квартиры,15 из 16
Этажей в доме,Все квартиры,16
Общая площадь,Все квартиры,60.8 м²
Общая площадь,Все квартиры,29.8 м²
Год постройки,Все квартиры,1977
Общая площадь,Все квартиры,41.7 м²
Площадь кухни,Все квартиры,11.3 м²
Общая площадь,Все квартиры,37.6 м²
Общая площадь,Все квартиры,49.5 м²
Площадь кухни,Все квартиры,10.8 м²
Жилая площадь,Все квартиры,32.6 м²
Общая площадь,Все квартиры,57 м²
Площадь кухни,Все квартиры,13.5 м²
Этаж,Все квартиры,2 из 18
Общая площадь,Все квартиры,49 м²
Год постройки,Все квартиры,1991
Общая площадь,Все квартиры,38.2 м²
Общая площадь,Все квартиры,34.7 м²
Год постройки,Все квартиры,1961
Площадь кухни,Все квартиры,12.5 м²
Общая площадь,Все квартиры,60.3 м²
Общая площадь,Все квартиры,40.1 м²
Жилая площадь,Все квартиры,19.2 м²
Общая площадь,Все квартиры,75 м²
Этаж,Все квартиры,5 из 8
Этажей в доме,Все квартиры,8
Общая площадь,Все квартиры,63 м²
Жилая площадь,Все квартиры,43 м²
Общая площадь,Все квартиры,65.7 м²
Площадь кухни,Все квартиры,8.8 м²
Жилая площадь,Все квартиры,40.1 м²
Общая площадь,Все квартиры,56.6 м²
Жилая площадь,Все квартиры,42.8 м²
Общая площадь,Все квартиры,28 м²
Этаж,Все квартиры,6 из 8
Общая площадь,Все квартиры,32.9 м²
Жилая площадь,Все квартиры,18.3 м²
Общая площадь,Все квартиры,42.7 м²
Площадь кухни,Все квартиры,9.5 м²
Общая площадь,Все квартиры,103 м²
Этаж,Все квартиры,2 из 16
Этаж,Все квартиры,11 из 22
Запланирован снос,Все квартиры,да
Грузовой лифт,Все квартиры,2
Общая площадь,Все квартиры,37.2 м²
Общая площадь,Все квартиры,52.5 м²
Общая площадь,Все квартиры,37.1 м²
Площадь кухни,Все квартиры,7.9 м²
Жилая площадь,Все квартиры,32.9 м²
Общая площадь,Все квартиры,43.4 м²
Общая площадь,Все квартиры,74.6 м²
Общая площадь,Все квартиры,110 м²
Жилая площадь,Все квартиры,80 м²
Общая площадь,Все квартиры,123.2 м²
Площадь кухни,Все квартиры,40 м²
Общая площадь,Все квартиры,61 м²
Площадь кухни,Все квартиры,7.3 м²
Общая площадь,Все квартиры,29.4 м²
Жилая площадь,Все квартиры,29.4 м²
Общая площадь,Все квартиры,59 м²
Общая площадь,Все квартиры,60.4 м²
Общая площадь,Все квартиры,40.7 м²
Площадь кухни,Все квартиры,5.1 м²
Жилая площадь,Все квартиры,19.5 м²
Общая площадь,Все квартиры,63.6 м²
Площадь кухни,Все квартиры,30 м²
Этаж,Все квартиры,19 из 19
Жилая площадь,Все квартиры,28.4 м²
Общая площадь,Все квартиры,64.4 м²
Общая площадь,Все квартиры,32.7 м²
Этаж,Все квартиры,4 из 12
Общая площадь,Все квартиры,29.7 м²
Жилая площадь,Все квартиры,12 м²
Площадь кухни,Все квартиры,5.6 м²
Жилая площадь,Все квартиры,28.8 м²
Этаж,Все квартиры,7 из 19
Площадь кухни,Все квартиры,9.3 м²
Этаж,Все квартиры,7 из 18
Этаж,Все квартиры,4 из 25
Этаж,Все квартиры,10 из 11
Этаж,Все квартиры,17 из 25
Общая площадь,Все квартиры,31.2 м²
Общая площадь,Все квартиры,48.7 м²
Общая площадь,Все квартиры,21.8 м²
Этаж,Все квартиры,1 из 2
Жилая площадь,Все квартиры,14 м²
Общая площадь,Все квартиры,46.3 м²
Общая площадь,Все квартиры,41.3 м²
Общая площадь,Все квартиры,36.4 м²
Площадь кухни,Все квартиры,9.6 м²
Высота потолков,Все квартиры,2500 м
Общая площадь,Все квартиры,44.6 м²
Жилая площадь,Все квартиры,29.3 м²
Общая площадь,Все квартиры,41.8 м²
Площадь кухни,Все квартиры,6.2 м²
Общая площадь,Все квартиры,44.3 м²
Общая площадь,Все квартиры,48.6 м²
Общая площадь,Все квартиры,55 м²
Общая площадь,Все квартиры,36.8 м²
Общая площадь,Все квартиры,38.8 м²
Площадь кухни,Все квартиры,10.3 м²
Жилая площадь,Все квартиры,16.4 м²
Общая площадь,Все квартиры,31.3 м²
Жилая площадь,Все квартиры,17.1 м²
Площадь кухни,Все квартиры,2 м²
Этаж,Все квартиры,10 из 23
Общая площадь,Все квартиры,35.7 м²
Площадь кухни,Все квартиры,9.4 м²
Этаж,Все квартиры,5 из 25
Общая площадь,Все квартиры,79.6 м²
Общая площадь,Все квартиры,49.8 м²
Год постройки,Все квартиры,2012
Общая площадь,Все квартиры,31.4 м²
Общая площадь,Все квартиры,49.1 м²
Жилая площадь,Все квартиры,31.9 м²
Общая площадь,Все квартиры,50.1 м²
Площадь кухни,Все квартиры,7.8 м²
Этаж,Все квартиры,7 из 8
Этаж,Все квартиры,14 из 19
Общая площадь,Все квартиры,71.8 м²
Жилая площадь,Все квартиры,38.9 м²
Общая площадь,Все квартиры,48.1 м²
Жилая площадь,Все квартиры,27.6 м²
Общая площадь,Все квартиры,44.1 м²
Общая площадь,Все квартиры,40.5 м²
Высота потолков,Все квартиры,4.8 м
Жилая площадь,Все квартиры,15.1 м²
Этаж,Все квартиры,3 из 3
Этаж,Все квартиры,3 из 12
Жилая площадь,Все квартиры,13.6 м²
Этаж,Все квартиры,1 из 14
Высота потолков,Все квартиры,3.2 м
Этаж,Все квартиры,7 из 25
Этаж,Все квартиры,2 из 25
Пассажирский лифт,Все квартиры,3
Общая площадь,Все квартиры,46.1 м²
Общая площадь,Все квартиры,63.2 м²
Общая площадь,Все квартиры,44.9 м²
Этаж,Все квартиры,3 из 11
Общая площадь,Все квартиры,58.6 м²
Высота потолков,Все квартиры,4.7 м
Общая площадь,Все квартиры,43.5 м²
Этаж,Все квартиры,7 из 23
Общая площадь,Все квартиры,85 м²
Жилая площадь,Все квартиры,62.7 м²
Общая площадь,Все квартиры,38.1 м²
Этаж,Все квартиры,4 из 23
Общая площадь,Все квартиры,30.4 м²
Площадь кухни,Все квартиры,7.1 м²
Общая площадь,Все квартиры,53.9 м²
Общая площадь,Все квартиры,54.3 м²
Этаж,Все квартиры,3 из 23
Общая площадь,Все квартиры,55.7 м²
Общая площадь,Все квартиры,54 м²
Общая площадь,Все квартиры,32.4 м²
Площадь кухни,Все квартиры,6.8 м²
Жилая площадь,Все квартиры,16.6 м²
Вид сделки,Все квартиры,аукцион
Общая площадь,Все квартиры,53.3 м²
Этаж,Все квартиры,3 из 18
Площадь кухни,Все квартиры,36.2 м²
Жилая площадь,Все квартиры,48.2 м²
Этаж,Все квартиры,4 из 14
Общая площадь,Все квартиры,20.8 м²
Общая площадь,Все квартиры,36.6 м²
Общая площадь,Все квартиры,72 м²
Жилая площадь,Все квартиры,55 м²
Этаж,Все квартиры,13 из 17
Этажей в доме,Все квартиры,17
Общая площадь,Все квартиры,58.5 м²
Этаж,Все квартиры,16 из 18
Жилая площадь,Все квартиры,45.1 м²
Этаж,Все квартиры,9 из 16
Общая площадь,Все квартиры,79.1 м²
Общая площадь,Все квартиры,52.7 м²
Этаж,Все квартиры,13 из 18
